order_id,customer_age,distance_km,delivery_time_min,courier_speed_kmh,weekday,restaurant_type,subscription,delivered,rating
1,45.0,6.44,33.21,17.97,6,Asian,Regular,1,6
2,48.0,3.41,24.76,16.02,3,Italian,Regular,1,8
3,,,18.61,23.11,4,Vegan,Regular,1,7
4,21.0,2.22,14.46,18.05,2,Asian,Regular,1,8
5,48.0,2.83,21.86,24.94,6,FastFood,Regular,1,6
6,23.0,3.03,27.14,16.53,0,Vegan,Regular,0,3
7,35.0,0.64,5.55,17.96,1,Asian,Regular,1,7
8,30.0,1.91,15.03,14.85,6,Asian,Prime,1,9
9,28.0,1.8,17.33,21.74,3,FastFood,Prime,1,9
10,39.0,2.12,13.86,22.34,1,Italian,Prime,1,8
11,34.0,3.54,28.1,14.79,2,Italian,Prime,1,7
12,37.0,0.87,14.08,15.67,1,Vegan,Prime,1,9
13,25.0,0.96,,19.29,3,Asian,Regular,1,6
14,30.0,1.38,12.44,16.97,1,Asian,Regular,1,7
15,25.0,2.19,14.59,21.55,2,Italian,Regular,1,6
16,30.0,3.18,21.64,18.58,6,FastFood,Regular,1,7
17,31.0,4.94,26.86,18.63,0,Italian,Regular,1,7
18,49.0,1.98,20.64,23.06,5,FastFood,Prime,1,9
19,30.0,3.66,23.18,17.5,0,Asian,Prime,1,7
20,16.0,3.42,26.78,12.71,3,Asian,Prime,1,8
21,45.0,3.12,17.5,23.77,4,Asian,Prime,1,7
22,36.0,2.29,19.18,19.05,6,Italian,Prime,1,9
23,,1.62,15.16,15.75,1,Vegan,Regular,1,8
24,28.0,1.29,14.97,20.38,0,Vegan,Prime,1,7
25,,1.24,16.6,18.03,5,Asian,Prime,1,9
26,49.0,2.8,22.08,23.98,6,FastFood,Prime,1,8
27,32.0,1.95,13.42,20.91,3,Italian,Regular,1,8
28,16.0,1.6,20.89,20.36,0,FastFood,Regular,1,7
29,35.0,3.34,24.78,,3,FastFood,Prime,1,9
30,43.0,1.8,16.8,18.11,2,Asian,Regular,1,9
31,33.0,1.22,21.02,13.06,3,Asian,Regular,1,7
32,24.0,1.74,16.14,22.9,0,Vegan,Regular,1,10
33,23.0,3.16,21.61,18.8,2,FastFood,Regular,1,8
34,24.0,1.15,16.27,20.15,6,Italian,Regular,1,10
35,46.0,2.6,20.8,16.79,0,Italian,Prime,1,10
36,31.0,2.25,21.48,19.52,6,FastFood,Prime,1,6
37,17.0,1.52,17.16,18.6,3,FastFood,Prime,1,10
38,35.0,1.71,21.59,20.36,4,Italian,Regular,1,8
39,33.0,0.85,12.87,19.14,6,FastFood,Regular,1,8
40,28.0,2.14,14.71,18.84,1,Asian,Regular,1,7
41,23.0,0.95,12.96,16.95,6,Italian,Regular,1,6
42,22.0,3.63,24.19,16.44,1,Asian,Regular,1,6
43,42.0,2.2,21.13,17.09,2,Asian,Prime,1,10
44,34.0,1.69,18.07,21.46,3,FastFood,Prime,1,9
45,36.0,3.81,28.87,14.78,4,Asian,Regular,1,6
46,34.0,1.14,15.3,18.69,2,Asian,Regular,1,6
47,35.0,1.33,15.49,17.79,5,Italian,Regular,1,5
48,28.0,0.74,16.26,22.63,0,FastFood,Regular,1,9
49,30.0,4.14,30.59,16.96,4,Asian,Regular,1,7
50,42.0,5.64,28.25,22.76,4,FastFood,Regular,1,8
51,45.0,0.8,14.42,19.77,3,FastFood,Regular,1,7
52,21.0,1.29,17.5,18.63,4,FastFood,Regular,1,9
53,30.0,,14.54,18.02,5,Asian,Prime,1,8
54,40.0,1.52,12.59,15.82,6,Asian,Regular,1,8
55,49.0,1.98,18.6,20.5,1,Asian,Regular,1,8
56,48.0,1.89,12.96,17.16,3,Asian,Regular,1,6
57,25.0,2.52,16.22,14.93,3,Italian,Regular,1,6
58,43.0,1.19,13.12,16.98,2,Italian,Regular,1,7
59,33.0,2.57,27.06,18.0,6,FastFood,Prime,1,9
60,41.0,1.25,15.22,24.22,3,FastFood,Prime,1,10
61,39.0,1.61,22.81,18.86,4,Asian,Regular,1,8
62,21.0,0.77,13.03,18.34,1,Italian,Regular,1,7
63,37.0,1.61,19.84,19.25,2,Italian,Regular,1,8
64,41.0,1.47,12.89,16.79,4,Asian,Regular,1,7
65,32.0,3.38,23.6,19.06,2,Asian,Regular,1,7
66,30.0,2.24,20.34,,5,Italian,Prime,1,10
67,18.0,2.15,16.82,20.32,0,Italian,Regular,1,7
68,38.0,1.99,16.81,20.42,1,FastFood,Regular,1,8
69,34.0,0.62,15.25,19.11,2,FastFood,Regular,0,4
70,24.0,0.67,10.33,20.23,2,Italian,Regular,1,9
71,29.0,1.94,16.27,25.65,5,FastFood,Prime,1,7
72,33.0,2.35,17.2,,6,Italian,Regular,1,7
73,,1.77,17.53,23.93,3,Vegan,Regular,1,9
74,32.0,,12.01,21.49,3,FastFood,Regular,1,6
75,16.0,2.03,19.18,18.09,2,FastFood,Prime,0,7
76,44.0,1.68,12.68,18.36,3,FastFood,Regular,1,5
77,32.0,3.09,24.83,25.14,4,FastFood,Regular,1,6
78,22.0,3.0,30.38,12.53,5,Asian,Regular,1,7
79,16.0,1.49,18.06,,6,Italian,Regular,1,10
80,41.0,2.25,19.96,15.11,4,Asian,Prime,1,8
81,37.0,2.34,13.06,21.62,2,Asian,Regular,1,8
82,34.0,2.54,18.28,18.32,0,Italian,Regular,1,9
83,40.0,5.0,29.64,18.73,4,Asian,Regular,1,6
84,40.0,1.98,16.45,28.16,5,FastFood,Regular,1,3
85,34.0,3.83,18.32,20.01,3,FastFood,Regular,1,10
86,30.0,1.22,16.58,19.96,6,FastFood,Prime,1,9
87,28.0,1.42,,15.33,2,Asian,Regular,1,7
88,,0.62,10.62,15.9,0,Italian,Regular,1,7
89,45.0,2.19,17.73,20.01,4,FastFood,Regular,1,9
