enrollment_id,student_age,study_hours_per_week,completion_time_days,avg_score,weekday,course_category,plan_type,completed,satisfaction
1,37.0,10.5,45.64,75.45,6,Business,Free,1,9
2,39.0,6.24,45.04,64.45,3,Design,Free,0,4
3,29.0,4.35,52.23,86.03,4,Marketing,Free,1,9
4,18.0,4.39,48.93,75.82,2,Business,Free,0,5
5,39.0,5.36,54.34,83.78,6,Programming,Free,0,7
6,20.0,5.66,67.24,61.35,0,Marketing,Free,0,6
7,29.0,1.98,42.19,79.39,1,Business,Paid,1,10
8,25.0,4.33,53.74,65.15,6,Business,Paid,0,6
9,24.0,4.13,56.26,74.97,3,Programming,Paid,1,8
10,32.0,4.71,47.15,92.77,1,Design,Paid,1,8
11,29.0,7.17,60.66,54.88,2,Programming,Paid,0,7
12,31.0,2.27,63.73,62.13,1,Marketing,Paid,1,8
13,21.0,2.21,53.43,81.51,3,Business,Free,0,6
14,26.0,2.98,52.53,70.84,1,Business,Free,1,7
15,22.0,4.35,43.3,85.71,2,Design,Free,0,6
16,26.0,5.9,52.16,58.31,6,Programming,Free,0,7
17,26.0,,41.94,74.51,0,Design,Free,0,6
18,40.0,4.46,54.4,80.26,5,Programming,Paid,0,7
19,25.0,7.37,45.79,77.31,0,Business,Paid,0,7
20,16.0,,51.38,55.32,3,Business,Paid,0,6
21,37.0,6.47,34.71,100.0,4,Business,Paid,1,10
22,30.0,5.01,48.67,74.55,6,Programming,Paid,0,7
23,26.0,3.39,58.71,58.43,1,Marketing,Free,0,6
24,24.0,3.14,50.67,79.8,0,Marketing,Paid,1,10
25,20.0,3.05,59.43,79.72,5,Business,Paid,1,10
26,41.0,5.93,55.79,83.93,6,Programming,Paid,0,5
27,27.0,3.96,45.09,83.27,3,Design,Free,0,6
28,16.0,3.36,66.42,65.43,0,Programming,Free,0,8
29,29.0,6.84,61.14,51.34,3,Programming,Paid,0,8
30,35.0,3.71,56.29,76.07,2,Business,Free,0,6
31,28.0,2.69,74.72,52.93,3,Business,Free,0,6
32,21.0,3.6,51.22,85.26,0,Marketing,Free,0,5
33,20.0,5.87,58.77,59.21,2,Programming,Free,0,6
34,21.0,2.56,58.64,75.62,6,Programming,Free,1,7
35,38.0,5.57,53.04,71.44,0,Design,Paid,0,6
36,26.0,4.94,58.75,66.1,6,Programming,Paid,0,6
37,16.0,3.6,60.52,62.39,3,Programming,Paid,1,10
38,30.0,3.55,56.58,81.16,4,Design,Free,0,5
39,28.0,2.0,60.39,60.54,6,Programming,Free,0,7
40,24.0,4.26,48.99,79.45,1,Business,Free,1,7
41,20.0,2.19,57.32,68.05,6,Design,Free,1,7
42,20.0,6.57,49.4,68.45,1,Business,Free,0,6
43,35.0,4.86,59.0,75.39,2,Business,Paid,1,7
44,29.0,3.92,52.76,73.85,3,Programming,Paid,1,10
45,30.0,6.84,57.58,60.83,4,Business,Free,0,5
46,29.0,2.55,58.42,78.74,2,Business,Free,0,5
47,29.0,2.9,56.02,71.29,5,Design,Free,0,5
48,24.0,1.78,67.85,74.53,0,Programming,Free,0,8
49,26.0,7.31,53.55,70.82,4,Business,Free,0,6
50,35.0,9.42,43.02,75.04,4,Programming,Free,0,6
51,37.0,1.91,63.24,63.06,3,Programming,Free,0,6
52,18.0,2.81,63.9,58.52,4,Programming,Free,1,7
53,26.0,5.23,41.42,79.7,5,Business,Paid,1,10
54,33.0,3.22,55.02,65.57,6,Business,Free,0,5
55,40.0,4.0,53.51,87.05,1,Business,Free,1,6
56,39.0,3.85,46.92,71.74,3,Business,Free,0,5
57,21.0,4.87,53.71,60.26,3,Design,Free,1,6
58,36.0,2.63,58.01,68.15,2,Design,Free,1,8
59,27.0,5.53,74.25,60.01,6,Programming,Paid,0,5
60,34.0,3.07,57.58,84.88,3,Programming,Paid,1,8
61,33.0,3.37,61.34,79.51,4,Business,Free,1,8
62,18.0,1.86,55.39,73.39,1,Design,Free,0,6
63,31.0,3.38,57.82,76.9,2,Design,Free,0,7
64,34.0,3.13,48.04,70.04,4,Business,Free,0,7
65,27.0,6.2,46.22,80.46,2,Business,Free,1,8
66,25.0,4.94,53.04,83.2,5,Design,Paid,0,7
67,16.0,4.29,43.71,81.0,0,Design,Free,0,4
68,32.0,4.01,60.54,65.7,1,Programming,Free,1,9
69,28.0,1.56,68.28,60.42,2,Programming,Free,1,8
70,21.0,1.65,54.53,80.65,2,Design,Free,0,7
71,25.0,4.39,43.62,90.62,5,Programming,Paid,1,9
72,28.0,4.6,45.82,85.06,6,Design,Free,1,8
73,23.0,3.65,48.7,89.11,3,Marketing,Free,1,8
74,27.0,2.75,57.57,69.94,3,Programming,Free,0,7
75,16.0,4.55,61.92,60.36,2,Programming,Paid,0,7
76,36.0,3.5,58.99,57.43,3,Programming,Free,0,4
77,27.0,5.76,57.35,84.55,4,Programming,Free,0,7
78,19.0,5.61,69.55,50.52,5,Business,Free,1,7
79,16.0,3.16,53.3,89.05,6,Design,Free,0,7
80,34.0,4.96,53.8,66.34,4,Business,Paid,1,9
81,31.0,4.59,44.45,92.16,2,Business,Free,0,7
82,28.0,4.91,55.45,73.29,0,Design,Free,0,7
83,33.0,8.53,46.55,78.95,4,Business,Free,0,7
84,33.0,4.0,46.18,96.62,5,Programming,Free,0,7
85,28.0,6.86,50.14,64.04,3,Programming,Free,0,6
86,25.0,3.01,61.75,67.84,6,Programming,Paid,0,6
